name,all_snps,apobec_snps,non_apobec_snps,date,year,precision,omit,new
OP450997|PA0016|USA|2022-07,71,43,28,2022-07-16,2022.536986,month,FALSE,FALSE
OP612687|MPXV/058/19|Nigeria|2019-08-19,53,30,23,2019-08-19,2019.630137,day,FALSE,FALSE
OP535337|MPXV_Nigeria_2017_2945|Nigeria|Bayelsa|2017-10,36,17,19,2017-10-16,2017.789041,month,FALSE,FALSE
OP612682|MPXV/040/19|Nigeria|2019-04-29,45,24,21,2019-04-29,2019.323288,day,FALSE,FALSE
OP612688|MPXV/104/19|Nigeria|2019-11-16,51,29,22,2019-11-16,2019.873973,day,FALSE,FALSE
OP612681|MPXV/039/19|Nigeria|2019-04-29,48,26,22,2019-04-29,2019.323288,day,FALSE,FALSE
ON563414|MA001|USA|2022-05-19,84,59,25,2022-05-19,2022.378082,day,TRUE,FALSE
ON676708|USA_2021_MD|USA|2021-11-16,76,53,23,2021-11-16,2021.873973,day,FALSE,FALSE
OP612686|MPXV/053/19|Nigeria|2019-07-01,49,29,20,2019-07-01,2019.49589,day,FALSE,FALSE
OP535322|MPXV_Nigeria_2017_2958|Nigeria|Edo|2017-10,36,17,19,2017-10-16,2017.789041,month,FALSE,FALSE
ON676707|USA_2021_TX|USA|2021-07-15,61,37,24,2021-07-15,2021.534247,day,FALSE,FALSE
OP555515|PT0428|Portugal|2022-08-01,71,45,26,2022-08-01,2022.580822,day,FALSE,FALSE
OP413718|9000360|UK_ex|2022-08,75,52,23,2022-08-16,2022.621918,month,FALSE,FALSE
EPI_ISL_13983888|NIC-74|A.2|Thailand_ex_Nigeria|2022-07-17,68,45,23,2022-07-17,2022.539726,day,FALSE,FALSE
EPI_ISL_13953610|KL-ICMR-16-5316-553|India_ex_UAE|2022-07-13,71,34,37,2022-07-13,2022.528767,day,FALSE,FALSE
EPI_ISL_13953611|KL-ICMR-21-5432-557|India_ex_UAE|2022-07-16,73,35,38,2022-07-16,2022.536986,day,FALSE,FALSE
EPI_ISL_15008577|DL-ICMR-84-6146-602|India|2022-08-11,66,35,31,2022-08-11,2022.608219,day,FALSE,FALSE
EPI_ISL_15373792|PIHCM_01|Vietnam|2022-09-23,46,14,32,2022-09-23,2022.726027,day,TRUE,FALSE
Egypt|MOH-NRC-0002|EPI_ISL_15292947|2022-09-26,80,42,38,2022-09-26,2022.734247,day,FALSE,FALSE
MK783027|3018|Nigeria_Rivers_State|2017-11-09,31,11,20,2017-11-09,2017.854795,day,FALSE,FALSE
MK783028|3019|Nigeria_Rivers_State|2017-11-09,31,11,20,2017-11-09,2017.854795,day,FALSE,FALSE
MK783029|3029|Nigeria_Rivers_State|2017-12-06,33,12,21,2017-12-06,2017.928767,day,FALSE,FALSE
MK783030|3025|Nigeria_Rivers_State|2017-11-30,36,17,19,2017-11-30,2017.912329,day,FALSE,FALSE
MK783031|3020|Nigeria_Rivers_State|2017-11-09,32,12,20,2017-11-09,2017.854795,day,FALSE,FALSE
MK783032|3030|Nigeria_Rivers_State|2017-11,36,17,19,2017-11-16,2017.873973,month,FALSE,FALSE
MK783033|2920|Nigeria_Rivers_State|2017-10-09,48,25,23,2017-10-09,2017.769863,day,FALSE,FALSE
MN648051|Israel_2018|Israel_ex_Nigeria|2018-10-04,44,22,22,2018-10-04,2018.756164,day,FALSE,FALSE
MT903343|MPXV-UK_P1|UK_ex_Nigeria|2018-09-07,43,21,22,2018-09-07,2018.682192,day,FALSE,FALSE
MT903344|MPXV-UK_P2|UK_ex_Nigeria|2018-09-07,43,23,20,2018-09-07,2018.682192,day,FALSE,FALSE
MT903345|MPXV-UK_P3|UK|2018-09-22,43,23,20,2018-09-22,2018.723288,day,FALSE,FALSE
